trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
200,False,"{'a': 0.2, 'e': 0.01831563888873418}",30,18,-24.2646370417459,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
201,False,"{'a': 0.2, 'e': 0.01795296493950285}",20,0,-79.10796388255173,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 2}",0
202,False,"{'a': 0.2, 'e': 0.017597472415623393}",25,14,14.09391285381051,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
203,False,"{'a': 0.2, 'e': 0.017249019115346265}",25,0,37.02698289918205,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
204,False,"{'a': 0.2, 'e': 0.01690746565270528}",25,11,5.390469257632263,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
205,False,"{'a': 0.2, 'e': 0.016572675401761255}",20,15,9.548765217644913,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
206,False,"{'a': 0.2, 'e': 0.01624451444194987}",20,14,12.39701837705563,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
207,False,"{'a': 0.2, 'e': 0.015922851504511698}",20,3,22.857981114387012,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
208,False,"{'a': 0.2, 'e': 0.01560755791998283}",20,0,30.227573386662314,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
209,False,"{'a': 0.2, 'e': 0.015298507566725518}",25,10,27.20958347316283,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
210,False,"{'a': 0.2, 'e': 0.014995576820477703}",25,0,32.90830019547138,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
211,False,"{'a': 0.2, 'e': 0.014698644504901784}",25,9,32.13563219634625,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
212,False,"{'a': 0.2, 'e': 0.01440759184311235}",25,10,28.947457915964673,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
213,False,"{'a': 0.2, 'e': 0.014122302410163962}",20,10,17.816170086052278,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
214,False,"{'a': 0.2, 'e': 0.013842662086479501}",25,16,14.491773904465765,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
215,False,"{'a': 0.2, 'e': 0.013568559012200934}",20,15,-4.172603739493069,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
216,False,"{'a': 0.2, 'e': 0.013299883542443767}",25,13,-21.06732528636802,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
217,False,"{'a': 0.2, 'e': 0.013036528203437736}",25,8,26.80051425171406,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
218,False,"{'a': 0.2, 'e': 0.01277838764953576}",25,0,-6.966500692193879,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
219,False,"{'a': 0.2, 'e': 0.012525358621074385}",20,8,17.89483684880485,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
220,False,"{'a': 0.2, 'e': 0.012277339903068436}",25,8,29.34003173892577,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
